album_name,artist_name,release_date,total_tracks,album_type,spotify_url
THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,16,album,https://open.spotify.com/album/1Mo4aZ8pdj6L1jx8zSwJnt
Dark Matter,Pearl Jam,2024-04-19,11,album,https://open.spotify.com/album/7MNrrItJpom6uMJWdT0XD8
HERicane,Lucky Daye,2024-04-19,1,single,https://open.spotify.com/album/4YQ8O3PQb7cZnnLeqNPaa1
Teka (with Peso Pluma),DJ Snake,2024-04-17,1,single,https://open.spotify.com/album/4MGpOqMU3FlZ7li35laoBu
REBEL,Anne Wilson,2024-04-19,16,album,https://open.spotify.com/album/0sJhrYC1988r2NNxsmzk3V
Define My Name,Nas,2024-04-19,1,single,https://open.spotify.com/album/5nabWI5Yf9uYtDS79CXVHu
"Wasteland, Baby! (Special Edition)",Hozier,2019-03-01,19,album,https://open.spotify.com/album/7hf5xjz74wwX1wS76DU2Ik
Baddy On The Floor,Jamie xx,2024-04-15,1,single,https://open.spotify.com/album/2fDJNwprKYSK4ovmRzcoe4
For Life (feat. Nile Rodgers),Kygo,2024-04-19,1,single,https://open.spotify.com/album/2Cqf3izEp75CqTKgul5Mi1
Espectacular,Sky Rompiendo,2024-04-18,1,single,https://open.spotify.com/album/2HLdCDKtyV4VxHLYk5xvAS
Half Life,Wyatt Flores,2024-04-19,8,album,https://open.spotify.com/album/51JYG8XPpVVVA7uQTnm4tI
Starburster,Fontaines D.C.,2024-04-17,1,single,https://open.spotify.com/album/1KkyOpscmbPAQzLNZDyI6o
WAHALA (FEAT. OLAMIDE),CKay,2024-04-19,1,single,https://open.spotify.com/album/59BxJKNg7wRYlJxAahb3YW
Suffer In Silence,Tee Grizzley,2024-04-19,1,single,https://open.spotify.com/album/1qJghQpnRM2sRbhX3lWXHz
Damascus,Elvie Shane,2024-04-19,13,album,https://open.spotify.com/album/0VZCWi3C9oARyCsoZKCMhg
Vampire in Beverly Hills,Eyedress,2024-04-19,34,album,https://open.spotify.com/album/34GevB4U1WHwDcm7kQmANH
Memory Morning,Tourist,2024-04-19,10,album,https://open.spotify.com/album/2LsEbodgqI6P1q7QEVe3P7
Cangrinaje,Nicky Jam,2024-04-18,1,single,https://open.spotify.com/album/2GamOIjCp5gNSw7n4RKLZt
Dark Vacay,Cigarettes After Sex,2024-04-16,1,single,https://open.spotify.com/album/33oGkitXxjRXWQwCx00jDb
"A Song For You (Live At The Hollywood Bowl, Los Angeles, CA - April 29, 2023)",The Lumineers,2024-04-19,1,single,https://open.spotify.com/album/2We3SA07PIDpZQmWvTm7CM
